"","scientificname","county","n","recent_collect_date","recent_id_date","mass","length"
"1","Acmaeodera acuta","aitkin",0,NA,NA,NA,NA
"2","Acmaeodera acuta","anoka",0,NA,NA,NA,NA
"3","Acmaeodera acuta","anoka/isanti",0,NA,NA,NA,NA
"4","Acmaeodera acuta","aonka/isanti",0,NA,NA,NA,NA
"5","Acmaeodera acuta","becker",0,NA,NA,NA,NA
"6","Acmaeodera acuta","beltrami",0,NA,NA,NA,NA
"7","Acmaeodera acuta","benton",0,NA,NA,NA,NA
"8","Acmaeodera acuta","big stone",0,NA,NA,NA,NA
"9","Acmaeodera acuta","blue earth",0,NA,NA,NA,NA
"10","Acmaeodera acuta","brown",0,NA,NA,NA,NA
"11","Acmaeodera acuta","carlton",0,NA,NA,NA,NA
"12","Acmaeodera acuta","carver",0,NA,NA,NA,NA
"13","Acmaeodera acuta","cass",0,NA,NA,NA,NA
"14","Acmaeodera acuta","chippewa",0,NA,NA,NA,NA
"15","Acmaeodera acuta","chisago",0,NA,NA,NA,NA
"16","Acmaeodera acuta","clay",0,NA,NA,NA,NA
"17","Acmaeodera acuta","clearwater",0,NA,NA,NA,NA
"18","Acmaeodera acuta","cook",0,NA,NA,NA,NA
"19","Acmaeodera acuta","cottonwood",0,NA,NA,NA,NA
"20","Acmaeodera acuta","crow wing",0,NA,NA,NA,NA
"21","Acmaeodera acuta","dakota",0,NA,NA,NA,NA
"22","Acmaeodera acuta","dodge",0,NA,NA,NA,NA
"23","Acmaeodera acuta","douglas",0,NA,NA,NA,NA
"24","Acmaeodera acuta","faribault",0,NA,NA,NA,NA
"25","Acmaeodera acuta","fillmore",0,NA,NA,NA,NA
"26","Acmaeodera acuta","freeborn",0,NA,NA,NA,NA
"27","Acmaeodera acuta","goodhue",0,NA,NA,NA,NA
"28","Acmaeodera acuta","grant",0,NA,NA,NA,NA
"29","Acmaeodera acuta","hennepin",0,NA,NA,NA,NA
"30","Acmaeodera acuta","houston",0,NA,NA,NA,NA
"31","Acmaeodera acuta","hubbard",0,NA,NA,NA,NA
"32","Acmaeodera acuta","isanti",0,NA,NA,NA,NA
"33","Acmaeodera acuta","itasca",0,NA,NA,NA,NA
"34","Acmaeodera acuta","itasca park",0,NA,NA,NA,NA
"35","Acmaeodera acuta","jackson",0,NA,NA,NA,NA
"36","Acmaeodera acuta","kanabec",0,NA,NA,NA,NA
"37","Acmaeodera acuta","kandiyohi",0,NA,NA,NA,NA
"38","Acmaeodera acuta","kittson",0,NA,NA,NA,NA
"39","Acmaeodera acuta","koochiching",0,NA,NA,NA,NA
"40","Acmaeodera acuta","lac qui parle",0,NA,NA,NA,NA
"41","Acmaeodera acuta","lake",0,NA,NA,NA,NA
"42","Acmaeodera acuta","lake of the woods",0,NA,NA,NA,NA
"43","Acmaeodera acuta","le sueur",0,NA,NA,NA,NA
"44","Acmaeodera acuta","lincoln",0,NA,NA,NA,NA
"45","Acmaeodera acuta","lyon",0,NA,NA,NA,NA
"46","Acmaeodera acuta","mahnomen",0,NA,NA,NA,NA
"47","Acmaeodera acuta","marshall",0,NA,NA,NA,NA
"48","Acmaeodera acuta","martin",0,NA,NA,NA,NA
"49","Acmaeodera acuta","mcleod",0,NA,NA,NA,NA
"50","Acmaeodera acuta","meeker",0,NA,NA,NA,NA
"51","Acmaeodera acuta","mille lacs",0,NA,NA,NA,NA
"52","Acmaeodera acuta","mille lacs lake",0,NA,NA,NA,NA
"53","Acmaeodera acuta","morrison",0,NA,NA,NA,NA
"54","Acmaeodera acuta","mower",0,NA,NA,NA,NA
"55","Acmaeodera acuta","murray",0,NA,NA,NA,NA
"56","Acmaeodera acuta","nicollet",0,NA,NA,NA,NA
"57","Acmaeodera acuta","nobles",0,NA,NA,NA,NA
"58","Acmaeodera acuta","norman",0,NA,NA,NA,NA
"59","Acmaeodera acuta","olmsted",0,NA,NA,NA,NA
"60","Acmaeodera acuta","otter tail",0,NA,NA,NA,NA
"61","Acmaeodera acuta","pennington",0,NA,NA,NA,NA
"62","Acmaeodera acuta","pine",0,NA,NA,NA,NA
"63","Acmaeodera acuta","pipestone",0,NA,NA,NA,NA
"64","Acmaeodera acuta","polk",0,NA,NA,NA,NA
"65","Acmaeodera acuta","pope",0,NA,NA,NA,NA
"66","Acmaeodera acuta","ramsey",0,NA,NA,NA,NA
"67","Acmaeodera acuta","red lake",0,NA,NA,NA,NA
"68","Acmaeodera acuta","redwood",0,NA,NA,NA,NA
"69","Acmaeodera acuta","renville",0,NA,NA,NA,NA
"70","Acmaeodera acuta","rice",0,NA,NA,NA,NA
"71","Acmaeodera acuta","rock",0,NA,NA,NA,NA
"72","Acmaeodera acuta","roseau",0,NA,NA,NA,NA
"73","Acmaeodera acuta","saint anthony park",0,NA,NA,NA,NA
"74","Acmaeodera acuta","santa rita",0,NA,NA,NA,NA
"75","Acmaeodera acuta","scott",0,NA,NA,NA,NA
"76","Acmaeodera acuta","sherburne",0,NA,NA,NA,NA
"77","Acmaeodera acuta","sibley",0,NA,NA,NA,NA
"78","Acmaeodera acuta","st louis",0,NA,NA,NA,NA
"79","Acmaeodera acuta","stearns",0,NA,NA,NA,NA
"80","Acmaeodera acuta","steele",0,NA,NA,NA,NA
"81","Acmaeodera acuta","stevens",0,NA,NA,NA,NA
"82","Acmaeodera acuta","swift",0,NA,NA,NA,NA
"83","Acmaeodera acuta","todd",0,NA,NA,NA,NA
"84","Acmaeodera acuta","traverse",0,NA,NA,NA,NA
"85","Acmaeodera acuta","wabasha",0,NA,NA,NA,NA
"86","Acmaeodera acuta","wadena",0,NA,NA,NA,NA
"87","Acmaeodera acuta","waseca",0,NA,NA,NA,NA
"88","Acmaeodera acuta","washington",0,NA,NA,NA,NA
"89","Acmaeodera acuta","watonwan",0,NA,NA,NA,NA
"90","Acmaeodera acuta","wilkin",0,NA,NA,NA,NA
"91","Acmaeodera acuta","winona",0,NA,NA,NA,NA
"92","Acmaeodera acuta","wright",0,NA,NA,NA,NA
"93","Acmaeodera acuta","yellow medicine",0,NA,NA,NA,NA
"94","Acmaeodera alicia","aitkin",0,NA,NA,NA,NA
"95","Acmaeodera alicia","anoka",0,NA,NA,NA,NA
"96","Acmaeodera alicia","anoka/isanti",0,NA,NA,NA,NA
"97","Acmaeodera alicia","aonka/isanti",0,NA,NA,NA,NA
"98","Acmaeodera alicia","becker",0,NA,NA,NA,NA
"99","Acmaeodera alicia","beltrami",0,NA,NA,NA,NA
"100","Acmaeodera alicia","benton",0,NA,NA,NA,NA
"101","Acmaeodera alicia","big stone",0,NA,NA,NA,NA
"102","Acmaeodera alicia","blue earth",0,NA,NA,NA,NA
"103","Acmaeodera alicia","brown",0,NA,NA,NA,NA
"104","Acmaeodera alicia","carlton",0,NA,NA,NA,NA
"105","Acmaeodera alicia","carver",0,NA,NA,NA,NA
"106","Acmaeodera alicia","cass",0,NA,NA,NA,NA
"107","Acmaeodera alicia","chippewa",0,NA,NA,NA,NA
"108","Acmaeodera alicia","chisago",0,NA,NA,NA,NA
"109","Acmaeodera alicia","clay",0,NA,NA,NA,NA
"110","Acmaeodera alicia","clearwater",0,NA,NA,NA,NA
"111","Acmaeodera alicia","cook",0,NA,NA,NA,NA
"112","Acmaeodera alicia","cottonwood",0,NA,NA,NA,NA
"113","Acmaeodera alicia","crow wing",0,NA,NA,NA,NA
"114","Acmaeodera alicia","dakota",0,NA,NA,NA,NA
"115","Acmaeodera alicia","dodge",0,NA,NA,NA,NA
"116","Acmaeodera alicia","douglas",0,NA,NA,NA,NA
"117","Acmaeodera alicia","faribault",0,NA,NA,NA,NA
"118","Acmaeodera alicia","fillmore",0,NA,NA,NA,NA
"119","Acmaeodera alicia","freeborn",0,NA,NA,NA,NA
"120","Acmaeodera alicia","goodhue",0,NA,NA,NA,NA
"121","Acmaeodera alicia","grant",0,NA,NA,NA,NA
"122","Acmaeodera alicia","hennepin",0,NA,NA,NA,NA
"123","Acmaeodera alicia","houston",0,NA,NA,NA,NA
"124","Acmaeodera alicia","hubbard",0,NA,NA,NA,NA
"125","Acmaeodera alicia","isanti",0,NA,NA,NA,NA
"126","Acmaeodera alicia","itasca",0,NA,NA,NA,NA
"127","Acmaeodera alicia","itasca park",0,NA,NA,NA,NA
"128","Acmaeodera alicia","jackson",0,NA,NA,NA,NA
"129","Acmaeodera alicia","kanabec",0,NA,NA,NA,NA
"130","Acmaeodera alicia","kandiyohi",0,NA,NA,NA,NA
"131","Acmaeodera alicia","kittson",0,NA,NA,NA,NA
"132","Acmaeodera alicia","koochiching",0,NA,NA,NA,NA
"133","Acmaeodera alicia","lac qui parle",0,NA,NA,NA,NA
"134","Acmaeodera alicia","lake",0,NA,NA,NA,NA
"135","Acmaeodera alicia","lake of the woods",0,NA,NA,NA,NA
"136","Acmaeodera alicia","le sueur",0,NA,NA,NA,NA
"137","Acmaeodera alicia","lincoln",0,NA,NA,NA,NA
"138","Acmaeodera alicia","lyon",0,NA,NA,NA,NA
"139","Acmaeodera alicia","mahnomen",0,NA,NA,NA,NA
"140","Acmaeodera alicia","marshall",0,NA,NA,NA,NA
"141","Acmaeodera alicia","martin",0,NA,NA,NA,NA
"142","Acmaeodera alicia","mcleod",0,NA,NA,NA,NA
"143","Acmaeodera alicia","meeker",0,NA,NA,NA,NA
"144","Acmaeodera alicia","mille lacs",0,NA,NA,NA,NA
"145","Acmaeodera alicia","mille lacs lake",0,NA,NA,NA,NA
"146","Acmaeodera alicia","morrison",0,NA,NA,NA,NA
"147","Acmaeodera alicia","mower",0,NA,NA,NA,NA
"148","Acmaeodera alicia","murray",0,NA,NA,NA,NA
"149","Acmaeodera alicia","nicollet",0,NA,NA,NA,NA
"150","Acmaeodera alicia","nobles",0,NA,NA,NA,NA
"151","Acmaeodera alicia","norman",0,NA,NA,NA,NA
"152","Acmaeodera alicia","olmsted",0,NA,NA,NA,NA
"153","Acmaeodera alicia","otter tail",0,NA,NA,NA,NA
"154","Acmaeodera alicia","pennington",0,NA,NA,NA,NA
"155","Acmaeodera alicia","pine",0,NA,NA,NA,NA
"156","Acmaeodera alicia","pipestone",0,NA,NA,NA,NA
"157","Acmaeodera alicia","polk",0,NA,NA,NA,NA
"158","Acmaeodera alicia","pope",0,NA,NA,NA,NA
