"","scientificname","county","n","recent_collect_date","recent_id_date","recent_date","last_catch_decade","last_catch_20","state","fips"
"1","Acmaeodera acuta","",0,NA,NA,NA,NA,NA,NA,NA
"2","Acmaeodera acuta","aitkin",0,NA,NA,NA,NA,NA,NA,NA
"3","Acmaeodera acuta","anoka",0,NA,NA,NA,NA,NA,"minnesota",27003
"4","Acmaeodera acuta","anoka/isanti",0,NA,NA,NA,NA,NA,NA,NA
"5","Acmaeodera acuta","aonka/isanti",0,NA,NA,NA,NA,NA,NA,NA
"6","Acmaeodera acuta","becker",0,NA,NA,NA,NA,NA,NA,NA
"7","Acmaeodera acuta","beltrami",0,NA,NA,NA,NA,NA,"minnesota",27007
"8","Acmaeodera acuta","benton",0,NA,NA,NA,NA,NA,NA,NA
"9","Acmaeodera acuta","big stone",0,NA,NA,NA,NA,NA,"minnesota",27011
"10","Acmaeodera acuta","blue earth",0,NA,NA,NA,NA,NA,NA,NA
"11","Acmaeodera acuta","brown",0,NA,NA,NA,NA,NA,NA,NA
"12","Acmaeodera acuta","carlton",0,NA,NA,NA,NA,NA,NA,NA
"13","Acmaeodera acuta","carver",0,NA,NA,NA,NA,NA,NA,NA
"14","Acmaeodera acuta","cass",0,NA,NA,NA,NA,NA,"minnesota",27021
"15","Acmaeodera acuta","chippewa",0,NA,NA,NA,NA,NA,NA,NA
"16","Acmaeodera acuta","chisago",0,NA,NA,NA,NA,NA,"minnesota",27025
"17","Acmaeodera acuta","clay",0,NA,NA,NA,NA,NA,"minnesota",27027
"18","Acmaeodera acuta","clearwater",0,NA,NA,NA,NA,NA,NA,NA
"19","Acmaeodera acuta","cook",0,NA,NA,NA,NA,NA,"minnesota",27031
"20","Acmaeodera acuta","cottonwood",0,NA,NA,NA,NA,NA,NA,NA
"21","Acmaeodera acuta","crow wing",0,NA,NA,NA,NA,NA,"minnesota",27035
"22","Acmaeodera acuta","dakota",0,NA,NA,NA,NA,NA,"minnesota",27037
"23","Acmaeodera acuta","dodge",0,NA,NA,NA,NA,NA,NA,NA
"24","Acmaeodera acuta","douglas",0,NA,NA,NA,NA,NA,NA,NA
"25","Acmaeodera acuta","faribault",0,NA,NA,NA,NA,NA,"minnesota",27043
"26","Acmaeodera acuta","fillmore",0,NA,NA,NA,NA,NA,"minnesota",27045
"27","Acmaeodera acuta","freeborn",0,NA,NA,NA,NA,NA,NA,NA
"28","Acmaeodera acuta","goodhue",0,NA,NA,NA,NA,NA,"minnesota",27049
"29","Acmaeodera acuta","grant",0,NA,NA,NA,NA,NA,NA,NA
"30","Acmaeodera acuta","hennepin",0,NA,NA,NA,NA,NA,"minnesota",27053
"31","Acmaeodera acuta","houston",0,NA,NA,NA,NA,NA,"minnesota",27055
"32","Acmaeodera acuta","hubbard",0,NA,NA,NA,NA,NA,NA,NA
"33","Acmaeodera acuta","isanti",0,NA,NA,NA,NA,NA,"minnesota",27059
"34","Acmaeodera acuta","itasca",0,NA,NA,NA,NA,NA,"minnesota",27061
"35","Acmaeodera acuta","itasca park",0,NA,NA,NA,NA,NA,NA,NA
"36","Acmaeodera acuta","jackson",0,NA,NA,NA,NA,NA,NA,NA
"37","Acmaeodera acuta","kanabec",0,NA,NA,NA,NA,NA,"minnesota",27065
"38","Acmaeodera acuta","kandiyohi",0,NA,NA,NA,NA,NA,"minnesota",27067
"39","Acmaeodera acuta","kittson",0,NA,NA,NA,NA,NA,"minnesota",27069
"40","Acmaeodera acuta","koochiching",0,NA,NA,NA,NA,NA,NA,NA
"41","Acmaeodera acuta","lac qui parle",0,NA,NA,NA,NA,NA,NA,NA
"42","Acmaeodera acuta","lake",0,NA,NA,NA,NA,NA,"minnesota",27075
"43","Acmaeodera acuta","lake of the woods",0,NA,NA,NA,NA,NA,NA,NA
"44","Acmaeodera acuta","le sueur",0,NA,NA,NA,NA,NA,"minnesota",27079
"45","Acmaeodera acuta","lincoln",0,NA,NA,NA,NA,NA,NA,NA
"46","Acmaeodera acuta","lyon",0,NA,NA,NA,NA,NA,NA,NA
"47","Acmaeodera acuta","mahnomen",0,NA,NA,NA,NA,NA,NA,NA
"48","Acmaeodera acuta","marshall",0,NA,NA,NA,NA,NA,"minnesota",27089
"49","Acmaeodera acuta","martin",0,NA,NA,NA,NA,NA,NA,NA
"50","Acmaeodera acuta","mcleod",0,NA,NA,NA,NA,NA,NA,NA
"51","Acmaeodera acuta","meeker",0,NA,NA,NA,NA,NA,NA,NA
"52","Acmaeodera acuta","mille lacs",0,NA,NA,NA,NA,NA,"minnesota",27095
"53","Acmaeodera acuta","mille lacs lake",0,NA,NA,NA,NA,NA,NA,NA
"54","Acmaeodera acuta","morrison",0,NA,NA,NA,NA,NA,"minnesota",27097
"55","Acmaeodera acuta","mower",0,NA,NA,NA,NA,NA,NA,NA
"56","Acmaeodera acuta","murray",0,NA,NA,NA,NA,NA,NA,NA
"57","Acmaeodera acuta","nicollet",0,NA,NA,NA,NA,NA,NA,NA
"58","Acmaeodera acuta","nobles",0,NA,NA,NA,NA,NA,NA,NA
"59","Acmaeodera acuta","norman",0,NA,NA,NA,NA,NA,NA,NA
"60","Acmaeodera acuta","olmsted",0,NA,NA,NA,NA,NA,"minnesota",27109
"61","Acmaeodera acuta","otter tail",0,NA,NA,NA,NA,NA,"minnesota",27111
"62","Acmaeodera acuta","pennington",0,NA,NA,NA,NA,NA,NA,NA
"63","Acmaeodera acuta","pine",0,NA,NA,NA,NA,NA,NA,NA
"64","Acmaeodera acuta","pipestone",0,NA,NA,NA,NA,NA,"minnesota",27117
"65","Acmaeodera acuta","polk",0,NA,NA,NA,NA,NA,NA,NA
"66","Acmaeodera acuta","pope",0,NA,NA,NA,NA,NA,NA,NA
"67","Acmaeodera acuta","ramsey",0,NA,NA,NA,NA,NA,"minnesota",27123
"68","Acmaeodera acuta","red lake",0,NA,NA,NA,NA,NA,"minnesota",27125
"69","Acmaeodera acuta","redwood",0,NA,NA,NA,NA,NA,NA,NA
"70","Acmaeodera acuta","renville",0,NA,NA,NA,NA,NA,NA,NA
"71","Acmaeodera acuta","rice",0,NA,NA,NA,NA,NA,NA,NA
"72","Acmaeodera acuta","rock",0,NA,NA,NA,NA,NA,NA,NA
"73","Acmaeodera acuta","roseau",0,NA,NA,NA,NA,NA,"minnesota",27135
"74","Acmaeodera acuta","saint anthony park",0,NA,NA,NA,NA,NA,NA,NA
"75","Acmaeodera acuta","santa rita",0,NA,NA,NA,NA,NA,NA,NA
"76","Acmaeodera acuta","scott",0,NA,NA,NA,NA,NA,"minnesota",27139
"77","Acmaeodera acuta","sherburne",0,NA,NA,NA,NA,NA,NA,NA
"78","Acmaeodera acuta","sibley",0,NA,NA,NA,NA,NA,NA,NA
"79","Acmaeodera acuta","st louis",0,NA,NA,NA,NA,NA,"minnesota",27137
"80","Acmaeodera acuta","stearns",0,NA,NA,NA,NA,NA,"minnesota",27145
"81","Acmaeodera acuta","steele",0,NA,NA,NA,NA,NA,"minnesota",27147
"82","Acmaeodera acuta","stevens",0,NA,NA,NA,NA,NA,NA,NA
"83","Acmaeodera acuta","swift",0,NA,NA,NA,NA,NA,"minnesota",27151
"84","Acmaeodera acuta","todd",0,NA,NA,NA,NA,NA,NA,NA
"85","Acmaeodera acuta","traverse",0,NA,NA,NA,NA,NA,"minnesota",27155
"86","Acmaeodera acuta","wabasha",0,NA,NA,NA,NA,NA,"minnesota",27157
"87","Acmaeodera acuta","wadena",0,NA,NA,NA,NA,NA,NA,NA
"88","Acmaeodera acuta","waseca",0,NA,NA,NA,NA,NA,NA,NA
"89","Acmaeodera acuta","washington",0,NA,NA,NA,NA,NA,"minnesota",27163
"90","Acmaeodera acuta","watonwan",0,NA,NA,NA,NA,NA,NA,NA
"91","Acmaeodera acuta","wilkin",0,NA,NA,NA,NA,NA,NA,NA
"92","Acmaeodera acuta","winona",0,NA,NA,NA,NA,NA,"minnesota",27169
"93","Acmaeodera acuta","wright",0,NA,NA,NA,NA,NA,NA,NA
"94","Acmaeodera acuta","yellow medicine",0,NA,NA,NA,NA,NA,NA,NA
"95","Acmaeodera alicia","",0,NA,NA,NA,NA,NA,NA,NA
"96","Acmaeodera alicia","aitkin",0,NA,NA,NA,NA,NA,NA,NA
"97","Acmaeodera alicia","anoka",0,NA,NA,NA,NA,NA,"minnesota",27003
"98","Acmaeodera alicia","anoka/isanti",0,NA,NA,NA,NA,NA,NA,NA
"99","Acmaeodera alicia","aonka/isanti",0,NA,NA,NA,NA,NA,NA,NA
"100","Acmaeodera alicia","becker",0,NA,NA,NA,NA,NA,NA,NA
"101","Acmaeodera alicia","beltrami",0,NA,NA,NA,NA,NA,"minnesota",27007
"102","Acmaeodera alicia","benton",0,NA,NA,NA,NA,NA,NA,NA
"103","Acmaeodera alicia","big stone",0,NA,NA,NA,NA,NA,"minnesota",27011
"104","Acmaeodera alicia","blue earth",0,NA,NA,NA,NA,NA,NA,NA
"105","Acmaeodera alicia","brown",0,NA,NA,NA,NA,NA,NA,NA
"106","Acmaeodera alicia","carlton",0,NA,NA,NA,NA,NA,NA,NA
"107","Acmaeodera alicia","carver",0,NA,NA,NA,NA,NA,NA,NA
"108","Acmaeodera alicia","cass",0,NA,NA,NA,NA,NA,"minnesota",27021
"109","Acmaeodera alicia","chippewa",0,NA,NA,NA,NA,NA,NA,NA
"110","Acmaeodera alicia","chisago",0,NA,NA,NA,NA,NA,"minnesota",27025
"111","Acmaeodera alicia","clay",0,NA,NA,NA,NA,NA,"minnesota",27027
"112","Acmaeodera alicia","clearwater",0,NA,NA,NA,NA,NA,NA,NA
"113","Acmaeodera alicia","cook",0,NA,NA,NA,NA,NA,"minnesota",27031
"114","Acmaeodera alicia","cottonwood",0,NA,NA,NA,NA,NA,NA,NA
"115","Acmaeodera alicia","crow wing",0,NA,NA,NA,NA,NA,"minnesota",27035
"116","Acmaeodera alicia","dakota",0,NA,NA,NA,NA,NA,"minnesota",27037
"117","Acmaeodera alicia","dodge",0,NA,NA,NA,NA,NA,NA,NA
"118","Acmaeodera alicia","douglas",0,NA,NA,NA,NA,NA,NA,NA
"119","Acmaeodera alicia","faribault",0,NA,NA,NA,NA,NA,"minnesota",27043
"120","Acmaeodera alicia","fillmore",0,NA,NA,NA,NA,NA,"minnesota",27045
"121","Acmaeodera alicia","freeborn",0,NA,NA,NA,NA,NA,NA,NA
"122","Acmaeodera alicia","goodhue",0,NA,NA,NA,NA,NA,"minnesota",27049
"123","Acmaeodera alicia","grant",0,NA,NA,NA,NA,NA,NA,NA
"124","Acmaeodera alicia","hennepin",0,NA,NA,NA,NA,NA,"minnesota",27053
"125","Acmaeodera alicia","houston",0,NA,NA,NA,NA,NA,"minnesota",27055
"126","Acmaeodera alicia","hubbard",0,NA,NA,NA,NA,NA,NA,NA
"127","Acmaeodera alicia","isanti",0,NA,NA,NA,NA,NA,"minnesota",27059
"128","Acmaeodera alicia","itasca",0,NA,NA,NA,NA,NA,"minnesota",27061
"129","Acmaeodera alicia","itasca park",0,NA,NA,NA,NA,NA,NA,NA
"130","Acmaeodera alicia","jackson",0,NA,NA,NA,NA,NA,NA,NA
"131","Acmaeodera alicia","kanabec",0,NA,NA,NA,NA,NA,"minnesota",27065
"132","Acmaeodera alicia","kandiyohi",0,NA,NA,NA,NA,NA,"minnesota",27067
"133","Acmaeodera alicia","kittson",0,NA,NA,NA,NA,NA,"minnesota",27069
"134","Acmaeodera alicia","koochiching",0,NA,NA,NA,NA,NA,NA,NA
"135","Acmaeodera alicia","lac qui parle",0,NA,NA,NA,NA,NA,NA,NA
"136","Acmaeodera alicia","lake",0,NA,NA,NA,NA,NA,"minnesota",27075
"137","Acmaeodera alicia","lake of the woods",0,NA,NA,NA,NA,NA,NA,NA
"138","Acmaeodera alicia","le sueur",0,NA,NA,NA,NA,NA,"minnesota",27079
"139","Acmaeodera alicia","lincoln",0,NA,NA,NA,NA,NA,NA,NA
"140","Acmaeodera alicia","lyon",0,NA,NA,NA,NA,NA,NA,NA
"141","Acmaeodera alicia","mahnomen",0,NA,NA,NA,NA,NA,NA,NA
"142","Acmaeodera alicia","marshall",0,NA,NA,NA,NA,NA,"minnesota",27089
"143","Acmaeodera alicia","martin",0,NA,NA,NA,NA,NA,NA,NA
"144","Acmaeodera alicia","mcleod",0,NA,NA,NA,NA,NA,NA,NA
"145","Acmaeodera alicia","meeker",0,NA,NA,NA,NA,NA,NA,NA
"146","Acmaeodera alicia","mille lacs",0,NA,NA,NA,NA,NA,"minnesota",27095
"147","Acmaeodera alicia","mille lacs lake",0,NA,NA,NA,NA,NA,NA,NA
"148","Acmaeodera alicia","morrison",0,NA,NA,NA,NA,NA,"minnesota",27097
"149","Acmaeodera alicia","mower",0,NA,NA,NA,NA,NA,NA,NA
"150","Acmaeodera alicia","murray",0,NA,NA,NA,NA,NA,NA,NA
"151","Acmaeodera alicia","nicollet",0,NA,NA,NA,NA,NA,NA,NA
"152","Acmaeodera alicia","nobles",0,NA,NA,NA,NA,NA,NA,NA
"153","Acmaeodera alicia","norman",0,NA,NA,NA,NA,NA,NA,NA
"154","Acmaeodera alicia","olmsted",0,NA,NA,NA,NA,NA,"minnesota",27109
"155","Acmaeodera alicia","otter tail",0,NA,NA,NA,NA,NA,"minnesota",27111
"156","Acmaeodera alicia","pennington",0,NA,NA,NA,NA,NA,NA,NA
"157","Acmaeodera alicia","pine",0,NA,NA,NA,NA,NA,NA,NA
"158","Acmaeodera alicia","pipestone",0,NA,NA,NA,NA,NA,"minnesota",27117
"159","Acmaeodera alicia","polk",0,NA,NA,NA,NA,NA,NA,NA
"160","Acmaeodera alicia","pope",0,NA,NA,NA,NA,NA,NA,NA
"161","Acmaeodera alicia","ramsey",0,NA,NA,NA,NA,NA,"minnesota",27123
"162","Acmaeodera alicia","red lake",0,NA,NA,NA,NA,NA,"minnesota",27125
"163","Acmaeodera alicia","redwood",0,NA,NA,NA,NA,NA,NA,NA
"164","Acmaeodera alicia","renville",0,NA,NA,NA,NA,NA,NA,NA
"165","Acmaeodera alicia","rice",0,NA,NA,NA,NA,NA,NA,NA
"166","Acmaeodera alicia","rock",0,NA,NA,NA,NA,NA,NA,NA
"167","Acmaeodera alicia","roseau",0,NA,NA,NA,NA,NA,"minnesota",27135
"168","Acmaeodera alicia","saint anthony park",0,NA,NA,NA,NA,NA,NA,NA
"169","Acmaeodera alicia","santa rita",0,NA,NA,NA,NA,NA,NA,NA
"170","Acmaeodera alicia","scott",0,NA,NA,NA,NA,NA,"minnesota",27139
"171","Acmaeodera alicia","sherburne",0,NA,NA,NA,NA,NA,NA,NA
"172","Acmaeodera alicia","sibley",0,NA,NA,NA,NA,NA,NA,NA
"173","Acmaeodera alicia","st louis",0,NA,NA,NA,NA,NA,"minnesota",27137
"174","Acmaeodera alicia","stearns",0,NA,NA,NA,NA,NA,"minnesota",27145
"175","Acmaeodera alicia","steele",0,NA,NA,NA,NA,NA,"minnesota",27147
"176","Acmaeodera alicia","stevens",0,NA,NA,NA,NA,NA,NA,NA
"177","Acmaeodera alicia","swift",0,NA,NA,NA,NA,NA,"minnesota",27151
"178","Acmaeodera alicia","todd",0,NA,NA,NA,NA,NA,NA,NA
"179","Acmaeodera alicia","traverse",0,NA,NA,NA,NA,NA,"minnesota",27155
"180","Acmaeodera alicia","wabasha",0,NA,NA,NA,NA,NA,"minnesota",27157
"181","Acmaeodera alicia","wadena",0,NA,NA,NA,NA,NA,NA,NA
